m a m p a	a_Consonants-bad		
m a n t a	a_Consonants-bad		
m a N k a	a_Consonants-bad		
m a m b a	a_Consonants-good		
m a n d a	a_Consonants-good		
m a N g a	a_Consonants-good		
m a n b a	a_Consonants-bad		
m a m d a	a_Consonants-bad		
m a t p a	a_Consonants-bad		
m a n g a	a_Consonants-bad		
u m a	a_Consonants-bad		
a a m a	a_Consonants-bad		
m a k	a_Consonants-bad		
m o m o m a	singleC_good	705	6.370734
m e m e m a	singleC_good	601	5.654277
m i m i m a	singleC_good	507	3.045542
m u m u m a	singleC_good	845	2.278214
m i m a m a	singleC_good	1220	1.912923
m u m a m a	singleC_good	1815	1.906579
m o m e m a	singleC_good	156	1.438388
m e m u m a	singleC_good	264	1.32961
m e m a m a	singleC_good	655	1.285292
m o m a m a	singleC_good	650	1.250037
m a m i m a	singleC_good	532	0.8341599
m u m i m a	singleC_good	180	0.7243854
m i m u m a	singleC_good	179	0.7203611
m a m a m a	singleC_good	1539	0.6298793
m a m u m a	singleC_good	587	0.6166182
m o m i m a	singleC_bMarginal	23	0.1694558
m o m u m a	singleC_bMarginal	20	9.87E-02
m e m i m a	singleC_bad	3	2.26E-02
m u m e m a	singleC_bad	4	0.0201456
m a m e m a	singleC_bad	3	5.89E-03
m u m o m a	singleC_bad	1	4.94E-03
m a m o m a	singleC_bad	1	1.92E-03
m e m o m a	singleC_bad	0	0
m i m e m a	singleC_bad	0	0
m i m o m a	singleC_bad	0	0
m o n d o m a	Cluster_good	705	6.370734
m e n d e m a	Cluster_good	601	5.654277
m i n d i m a	Cluster_good	507	3.045542
m u n d u m a	Cluster_good	845	2.278214
m i n d a m a	Cluster_good	1220	1.912923
m u n d a m a	Cluster_good	1815	1.906579
m o n d e m a	Cluster_good	156	1.438388
m e n d u m a	Cluster_good	264	1.32961
m e n d a m a	Cluster_good	655	1.285292
m o n d a m a	Cluster_good	650	1.250037
m a n d i m a	Cluster_good	532	0.8341599
m u n d i m a	Cluster_good	180	0.7243854
m i n d u m a	Cluster_good	179	0.7203611
m a n d a m a	Cluster_good	1539	0.6298793
m a n d u m a	Cluster_good	587	0.6166182
m o n d i m a	Cluster_bMarginal	23	0.1694558
m o n d u m a	Cluster_bMarginal	20	9.87E-02
m e n d i m a	Cluster_bad	3	2.26E-02
m u n d e m a	Cluster_bad	4	0.0201456
m a n d e m a	Cluster_bad	3	5.89E-03
m u n d o m a	Cluster_bad	1	4.94E-03
m a n d o m a	Cluster_bad	1	1.92E-03
m e n d o m a	Cluster_bad	0	0
m i n d e m a	Cluster_bad	0	0
m i n d o m a	Cluster_bad	0	0
ch o m b i r a	Real		
m h a u r a	Real
m h a zh a	Real
m h a zh u r a	Real
m h e m h a i dz a	Real
m h e m h a i k a	Real
m h e m h a i r a	Real
m h e N g e k a	Real
m h e N g e n u dz a	Real
m h e N g e n u k a	Real
m h e N g w a i r a	Real
m h e t a	Real
m h e u dz a	Real
m h e u k a	Real
m h e u r a	Real
m h e y a	Real
m h e y a i r a	Real
m h i d y u r a	Real
m h i dz u r a	Real
m h i m h a i r a	Real
m h i m h i dz a	Real
m h i m v u k a	Real
m h i m v u r a	Real
m h i n i m i n i k a	Real
m h i n i m i n i s a	Real
m h i n i n i dz a	Real
m h i n i n i k a	Real
m h i n i n i t s a	Real
m h i zh u k a	Real
m h i zh u r a	Real
m h i z u dz a	Real
m h i z u k a	Real
m h i z u r a	Real
m h o d y o dz a	Real
m h o d y o k a	Real
m h o k a	Real
m h o n j o dz a	Real
m h o n j o k a	Real
m h o n j o r a	Real
m h o pf o dz a	Real
m h o pf o k a	Real
m h o pf o r a	Real
m h o r e s a	Real
m h o t s a	Real
m h o v a	Real
m h u dz a	Real
m h u r a	Real
m h u r a	Real
m h u sh a	Real
m h u sh u dz a	Real
m h u sh u dz a	Real
m h u sh u k a	Real
m h u sh u r a	Real
m h u t i k a	Real
m h w a t s a u k a	Real
m h w a t s a u r a	Real
m h w a t s u k a	Real
m i d i n u dz a	Real
m i dz u k a	Real
m i dz u r a	Real
m i m a	Real
m i m i n a	Real
m i n a	Real
m i n a i dz a	Real
m i n a i k a	Real
m i n a i r a	Real
m i n a m a	Real
m i n a r a	Real
m i n a r a dz a	Real
m i n a r a r a	Real
m i n d u dz a	Real
m i n d u k a	Real
m i n i n a dz a	Real
m i n i N g i dz a	Real
m i n i N g u k a	Real
m i n i N g u r a	Real
m i n i n i dz a	Real
m i n i n u k a	Real
m i n u dz a	Real
m i n u r a	Real
m i n y a	Real
m i n y u k a	Real
m i n y u r a	Real
m i n z a	Real
m i r a	Real
m i r i z i dz a	Real
m i r i z i k a	Real
m i r i z u dz a	Real
m i r i z u k a	Real
m i r u dz a	Real
m i r u k a	Real
m i r u t s a	Real
m i s a	Real
m i z a	Real
m o bv o dz a	Real
m o bv o k a	Real
m o bv o r a	Real
m o ch a	Real
m o ch a	Real
m o d o dz a	Real
m o d o k a	Real
m o d o r a	Real
m o f o dz a	Real
m o k o t e dz a	Real
m o k o t e k a	Real
m o k o t o dz a	Real
m o k o t o k a	Real
m o m a	Real
m o m o n o r a	Real
m o m o t a	Real
m o m o t e r a	Real
m o n a	Real
m o n d a	Real
m o n d o dz a	Real
m o n d o k a	Real
m o n d o n o dz a	Real
m o n d o n o k a	Real
m o n d o n o r a	Real
m o n d o r a	Real
m o n e r e dz a	Real
m o n e r e k a	Real
m o n e r e r a	Real
m o N g o k a	Real
m o N g o r a	Real
m o n o k a	Real
m o n o n a	Real
m o n o n o dz a	Real
m o n o n o k a	Real
m o n o n o r a	Real
m o n s a	Real
m o n y a	Real
m o n y a n a	Real
m o n y o dz a	Real
m o n y o k a	Real
m o n y o N g o dz a	Real
m o n y o N g o k a	Real
m o n y o N g o r a	Real
m o n y o N g w a	Real
m o n y o n o dz a	Real
m o n y o n o k a	Real
m o n y o r a	Real
m o n y o r o dz a	Real
m o n y o r o k a	Real
m o n y o r o r a	Real
m o o r a	Real
m o pf o dz a	Real
m o pf o k a	Real
m o pf o r a	Real
m o r a	Real
m o t o dz a	Real
m o t o k a	Real
m o t s a	Real
m o t s o dz a	Real
m o t s o k a	Real
m u ch u k a	Real
m u ch u r a	Real
m u d u dz a	Real
m u d u g u dz a	Real
m u d u g u k a	Real
m u d u g u r a	Real
m u d u k a	Real
m u d u r a	Real
m u f u dz a	Real
m u f u k a	Real
m u f u n a	Real
m u f u r a	Real
m u g u d u dz a	Real
m u g u d u k a	Real
m u g u d u r a	Real
m u g u dz a	Real
m u g u r a	Real
n u n y u t s a	Real
o g a n u r a	Real
o g o n y a	Real
r a N g a r i k a	Real
r a N g a v a t i k a	Real
r o n e r a	Real
r u n d u m a r a	Real
r u r u m u dz a	Real
r w a j a n u k a	Real
sh e N g e t a	Real
sh e N g u r i r a	Real
sh i k i n y a	Real
sh i m h u r a	Real
sh u sh u r a	Real
s u n a	Real
sv a t a	Real
s w a m b a i dz a	Real
u d a n d a u k a	Real
w e h e n e k a	Real
z e n a	Real
